Designator,Mid X,Mid Y,Layer,Rotation
R423,73.92500199999999mm,9.7943mm,Bottom,270.0
D420,74.92500199999999mm,11.325mm,Top,90.0
C420,62.425002mm,8.275mm,Bottom,0.0
L420,62.525002mm,16.225mm,Bottom,270.0
D421,72.885802mm,16.575mm,Top,0.0
L421,70.325002mm,10.825mm,Top,90.0
C474,100.14mm,72.92139999999999mm,Bottom,180.0
R470,99.22500000000001mm,76.575mm,Bottom,90.0
U471,100.17200000000001mm,71.53999999999999mm,Top,90.0
R474,100.1396mm,70.675mm,Bottom,90.0
R473,99.67500000000001mm,71.9346mm,Bottom,180.0
R472,99.22500000000001mm,74.45mm,Bottom,90.0
C473,101.125mm,70.575mm,Bottom,90.0
C472,99.275mm,70.575mm,Bottom,270.0
U470,100.17200000000001mm,75.515mm,Top,90.0
R471,100.125mm,76.575mm,Bottom,270.0
C471,101.125mm,76.52499999999999mm,Bottom,270.0
C470,101.125mm,74.39999999999999mm,Bottom,90.0
C752,40.04mm,90.4125mm,Bottom,90.0
C753,38.114999999999995mm,90.4375mm,Bottom,270.0
C755,43.239999999999995mm,92.4375mm,Bottom,270.0
C756,43.239999999999995mm,94.57249999999999mm,Bottom,270.0
C757,42.29mm,94.57249999999999mm,Bottom,270.0
C760,36.54mm,99.76249999999999mm,Bottom,180.0
C761,44.129999999999995mm,102.71249999999999mm,Bottom,90.0
C762,38.375389mm,99.76606299999999mm,Bottom,0.0
C764,43.239999999999995mm,90.61749999999999mm,Bottom,90.0
C766,44.17mm,90.5675mm,Bottom,90.0
R752,38.489mm,102.00324699999999mm,Bottom,270.0
R753,36.565mm,102.00324699999999mm,Bottom,90.0
R754,42.29mm,90.51249999999999mm,Bottom,90.0
R757,41.339999999999996mm,90.5625mm,Bottom,270.0
R760,39.065mm,90.4375mm,Bottom,270.0
R761,42.29mm,92.38749999999999mm,Bottom,90.0
R762,41.339999999999996mm,92.46249999999999mm,Bottom,90.0
R763,36.03mm,90.5525mm,Bottom,270.0
R765,44.17mm,94.57249999999999mm,Bottom,90.0
R766,41.340073mm,94.559585mm,Bottom,90.0
U752,42.94mm,97.5625mm,Bottom,270.0
U753,38.089999999999996mm,95.34678299999999mm,Bottom,180.0
U757,41.860783999999995mm,101.6625mm,Bottom,270.0
C751,37.44mm,98.58749999999999mm,Top,180.0
C754,36.46mm,95.01249999999999mm,Top,0.0
C758,36.46mm,92.71249999999999mm,Top,180.0
C759,38.451592999999995mm,95.01249999999999mm,Top,0.0
C763,39.69mm,102.71249999999999mm,Top,90.0
C765,41.51mm,99.5525mm,Top,270.0
C767,38.451592999999995mm,92.71249999999999mm,Top,0.0
C768,42.76mm,97.32249999999999mm,Top,0.0
C769,39.04mm,90.2225mm,Top,90.0
D751,40.93mm,102.2725mm,Top,270.0
R751,42.54mm,102.4125mm,Top,90.0
R755,38.839999999999996mm,98.07249999999999mm,Top,90.0
R756,35.964999999999996mm,98.11749999999999mm,Top,270.0
R758,37.404215mm,97.3625mm,Top,180.0
